From,To,Enzyme
Xylulose-5-phosphate [c],Seduheptulose-7-phosphate [c],TKT
Ribose-5-phosphate [c],Xylulose-5-phosphate [c],TKT
Ribose-5-phosphate [c],Seduheptulose-7-phosphate [c],TKT
Ribose-5-phosphate [c],Glyceraldehyde 3-phosphate [c],TKT
Glyceraldehyde 3-phosphate [c],Xylulose-5-phosphate [c],TKT
Glyceraldehyde 3-phosphate [c],Ribose-5-phosphate [c],TKT
Glyceraldehyde 3-phosphate [c],Seduheptulose-7-phosphate [c],TKT
Glyceraldehyde 3-phosphate [c],Seduheptulose-7-phosphate [c],TALDO
Glyceraldehyde 3-phosphate [c],Fructose-6-phosphate [c],TALDO
Glyceraldehyde 3-phosphate [c],Erythrose-4-phosphate [c],TALDO
Seduheptulose-7-phosphate [c],Xylulose-5-phosphate [c],TKT
Seduheptulose-7-phosphate [c],Glyceraldehyde 3-phosphate [c],TKT
Seduheptulose-7-phosphate [c],Glyceraldehyde 3-phosphate [c],TALDO
Seduheptulose-7-phosphate [c],Ribose-5-phosphate [c],TKT
Seduheptulose-7-phosphate [c],Erythrose-4-phosphate [c],TALDO
Seduheptulose-7-phosphate [c],Fructose-6-phosphate [c],TALDO
Erythrose-4-phosphate [c],Xylulose-5-phosphate [c],TKT
Erythrose-4-phosphate [c],Glyceraldehyde 3-phosphate [c],TKT
Erythrose-4-phosphate [c],Glyceraldehyde 3-phosphate [c],TALDO
Erythrose-4-phosphate [c],Seduheptulose-7-phosphate [c],TALDO
Erythrose-4-phosphate [c],Fructose-6-phosphate [c],TKT
Erythrose-4-phosphate [c],Fructose-6-phosphate [c],TALDO
Fructose-6-phosphate [c],Erythrose-4-phosphate [c],TALDO
Fructose-6-phosphate [c],Erythrose-4-phosphate [c],TKT
Fructose-6-phosphate [c],Seduheptulose-7-phosphate [c],TALDO
Fructose-6-phosphate [c],Glyceraldehyde 3-phosphate [c],TALDO
Fructose-6-phosphate [c],Xylulose-5-phosphate [c],TKT
Glucose [c],ADP-Glucose [c],Enzyme33
ADP-Glucose [c],Glycogen [c],Enzyme34
Glycogen [c],Glucose [c],Enzyme35
Oxaloacetate [m],Aspartate,PseudoEnzymes
Oxaloacetate [m],Asparagine,PseudoEnzymes
Acetyl CoA [c],Fatty acids,PseudoEnzymes
Pyruvate [m],Alanine,PseudoEnzymes
Pyruvate [c],Alanine,PseudoEnzymes
3-Phosphoglycerate [c],Serine,PseudoEnzymes
3-Phosphoglycerate [c],Cysteine,PseudoEnzymes
3-Phosphoglycerate [c],Glycine,PseudoEnzymes
2-Oxoglutarate [m],Glutamine,PseudoEnzymes
2-Oxoglutarate [m],Glutamate,PseudoEnzymes
Ribose-5-phosphate [c],Nucleotides,PseudoEnzymes
